study,arm,rep,capsule,iter,total_ms
matched,full_stack_ovl,3,9114f96f,2,47.628
matched,full_stack_ovl,3,9114f96f,3,45.866
matched,full_stack_ovl,3,9114f96f,4,47.067
matched,full_stack_ovl,3,9114f96f,5,48.13
matched,full_stack_ovl,3,9114f96f,6,47.327
matched,full_stack_ovl,3,9114f96f,7,46.439
matched,full_stack_ovl,3,9114f96f,8,48.529
matched,full_stack_ovl,3,9114f96f,9,49.181
matched,full_stack_ovl_pv3c_14,3,9114f96f,0,51.227
matched,full_stack_ovl_pv3c_14,3,9114f96f,1,47.494
matched,full_stack_ovl_pv3c_14,3,9114f96f,2,47.166
matched,full_stack_ovl_pv3c_14,3,9114f96f,3,46.342
matched,full_stack_ovl_pv3c_14,3,9114f96f,4,48.806
matched,full_stack_ovl_pv3c_14,3,9114f96f,5,47.033
