layer,scale,run,timing_mode,algorithm,budget_mib,latency_ms,capsule
layer0,W16,fwd,,hier_compress_lb_union_fused_early,64,44.447,20260816-133612_perlmutter_01f7e410
layer0,W16,revA,,hier_compress_lb_union_fused_early,64,44.735,20260816-162940_perlmutter_ed9625bc
layer0,W16,revB,,hier_compress_lb_union_fused_early,64,44.746,20260816-163134_perlmutter_c914e099
layer0,W16,fwd,,torch_unfused,1,1.923,20260816-132227_perlmutter_7ff7098d
layer0,W16,revA,,torch_unfused,1,1.934,20260816-161551_perlmutter_1451c017
layer0,W16,revB,,torch_unfused,1,1.945,20260816-161758_perlmutter_78f371c6
layer0,W16,fwd,,torch_unfused,2,3.342,20260816-132227_perlmutter_7ff7098d
layer0,W16,revA,,torch_unfused,2,3.343,20260816-161551_perlmutter_1451c017
layer0,W16,revB,,torch_unfused,2,3.339,20260816-161758_perlmutter_78f371c6
layer0,W16,fwd,,torch_unfused,4,6.425,20260816-132227_perlmutter_7ff7098d
layer0,W16,revA,,torch_unfused,4,6.418,20260816-161551_perlmutter_1451c017
layer0,W16,revB,,torch_unfused,4,6.418,20260816-161758_perlmutter_78f371c6
layer0,W16,fwd,,torch_unfused,8,12.784,20260816-132227_perlmutter_7ff7098d
layer0,W16,revA,,torch_unfused,8,12.719,20260816-161551_perlmutter_1451c017
layer0,W16,revB,,torch_unfused,8,12.698,20260816-161758_perlmutter_78f371c6
layer0,W16,fwd,,torch_unfused,16,25.484,20260816-132227_perlmutter_7ff7098d
layer0,W16,revA,,torch_unfused,16,25.499,20260816-161551_perlmutter_1451c017
layer0,W16,revB,,torch_unfused,16,25.565,20260816-161758_perlmutter_78f371c6
layer0+1,W16,fwd,,l01_allgather_dense,1,6.836,20260816-201326_perlmutter_537522b3
layer0+1,W16,rev,,l01_allgather_dense,1,6.917,20260816-201738_perlmutter_9bd629be
layer0+1,W16,fwd,,l01_allgather_dense,2,7.656,20260816-201326_perlmutter_537522b3
layer0+1,W16,rev,,l01_allgather_dense,2,7.719,20260816-201738_perlmutter_9bd629be
layer0+1,W16,fwd,,l01_allgather_dense,4,13.452,20260816-201326_perlmutter_537522b3
layer0+1,W16,rev,,l01_allgather_dense,4,13.626,20260816-201738_perlmutter_9bd629be
layer0+1,W16,fwd,,l01_allgather_dense,8,21.916,20260816-201326_perlmutter_537522b3
layer0+1,W16,rev,,l01_allgather_dense,8,21.696,20260816-201738_perlmutter_9bd629be
layer0+1,W16,fwd,,l01_allgather_dense,16,43.104,20260816-201326_perlmutter_537522b3
layer0+1,W16,rev,,l01_allgather_dense,16,43.164,20260816-201738_perlmutter_9bd629be
layer0+1,W16,fwd,,l01_allgather_dense,32,85.202,20260816-203357_perlmutter_5282d34f
layer0+1,W16,rev,,l01_allgather_dense,32,84.547,20260816-203508_perlmutter_b002806a
layer0+1,W16,fwd,,l01_allgather_dense,64,177.321,20260816-203357_perlmutter_5282d34f
layer0+1,W16,rev,,l01_allgather_dense,64,177.175,20260816-203508_perlmutter_b002806a
layer0+1,W16,fwd,,l01_lbunion_compress,1,2.76,20260816-205001_perlmutter_9378fed5
layer0+1,W16,rev,,l01_lbunion_compress,1,2.699,20260816-205418_perlmutter_397ac0fa
layer0+1,W16,fwd,,l01_lbunion_compress,2,3.626,20260816-205001_perlmutter_9378fed5
layer0+1,W16,rev,,l01_lbunion_compress,2,3.66,20260816-205418_perlmutter_397ac0fa
layer0+1,W16,fwd,,l01_lbunion_compress,4,5.886,20260816-205001_perlmutter_9378fed5
layer0+1,W16,rev,,l01_lbunion_compress,4,5.861,20260816-205418_perlmutter_397ac0fa
layer0+1,W16,fwd,,l01_lbunion_compress,8,10.635,20260816-205001_perlmutter_9378fed5
