baseline,variant,model,nodes,budget_mib,status,capsule,cell_id,deterministic,e2e_ms,l0_ms,act_ms,l1_ms,plan_ms,plan_comm_ms,total_ms,e2e_min,e2e_max,fail_reason
EPLB,eplb_l01,K2,4,1,ok,20260823-164026_perlmutter_5e084df3,eplb_l01_trace-610042_b1_k8_isolated,0,4.834,2.692,0.013,2.116,2.962,0.239,7.957,4.758,5.324,
EPLB,eplb_l01,K2,4,2,ok,20260823-164026_perlmutter_5e084df3,eplb_l01_trace-610042_b2_k8_isolated,0,6.618,3.503,0.018,3.119,2.935,0.425,9.688,6.446,7.255,
EPLB,eplb_l01,K2,4,4,ok,20260823-164026_perlmutter_5e084df3,eplb_l01_trace-610042_b4_k8_isolated,0,11.087,5.412,0.026,5.523,2.959,0.291,14.14,10.343,11.655,
EPLB,eplb_l01,K2,4,8,ok,20260823-164026_perlmutter_5e084df3,eplb_l01_trace-610042_b8_k8_isolated,0,18.366,9.049,0.051,9.358,3.061,0.247,21.543,17.863,19.564,
EPLB,eplb_l01,K2,4,16,ok,20260823-164026_perlmutter_5e084df3,eplb_l01_trace-610042_b16_k8_isolated,0,34.539,16.689,0.11,17.414,2.968,0.396,37.594,33.309,35.114,
EPLB,eplb_l01,K2,4,32,ok,20260823-164026_perlmutter_5e084df3,eplb_l01_trace-610042_b32_k8_isolated,0,65.819,32.127,0.224,33.435,3.116,0.247,69.07,64.447,67.26,
EPLB,eplb_l01,K2,4,64,ok,20260823-164026_perlmutter_5e084df3,eplb_l01_trace-610042_b64_k8_isolated,0,136.167,66.325,0.433,69.327,4.057,0.558,140.434,132.251,141.293,
EPLB,eplb_l01,K2,8,1,ok,20260823-170700_perlmutter_e783b09a,eplb_l01_trace-610042_b1_k8_isolated,0,4.781,2.711,0.012,2.048,2.994,0.299,7.808,4.531,4.938,
EPLB,eplb_l01,K2,8,2,ok,20260823-170700_perlmutter_e783b09a,eplb_l01_trace-610042_b2_k8_isolated,0,7.146,3.781,0.018,3.362,2.895,0.55,10.239,6.684,7.538,
EPLB,eplb_l01,K2,8,4,ok,20260823-170700_perlmutter_e783b09a,eplb_l01_trace-610042_b4_k8_isolated,0,12.367,6.285,0.027,6.068,2.903,0.341,15.405,11.914,13.457,
EPLB,eplb_l01,K2,8,8,ok,20260823-170700_perlmutter_e783b09a,eplb_l01_trace-610042_b8_k8_isolated,0,22.405,11.576,0.049,10.65,2.915,0.594,25.423,21.44,22.762,
EPLB,eplb_l01,K2,8,16,ok,20260823-170700_perlmutter_e783b09a,eplb_l01_trace-610042_b16_k8_isolated,0,42.472,21.606,0.122,20.917,3.5,0.481,45.694,40.085,44.192,
EPLB,eplb_l01,K2,8,32,ok,20260823-170700_perlmutter_e783b09a,eplb_l01_trace-610042_b32_k8_isolated,0,85.575,43.581,0.235,41.842,4.087,0.683,89.742,82.712,86.455,
EPLB,eplb_l01,K2,8,64,ok,20260823-170700_perlmutter_e783b09a,eplb_l01_trace-610042_b64_k8_isolated,0,166.478,81.852,0.387,83.119,5.614,0.74,172.365,162.817,167.859,
EPLB,eplb_l01,K2,16,1,ok,20260823-215421_perlmutter_b6fbd31e,eplb_l01_trace-610042_b1_k8_isolated,0,5.985,3.817,0.013,2.229,4.201,0.699,10.16,5.382,7.19,
EPLB,eplb_l01,K2,16,2,ok,20260823-215421_perlmutter_b6fbd31e,eplb_l01_trace-610042_b2_k8_isolated,0,8.928,5.153,0.018,3.62,4.272,0.664,13.076,8.172,9.247,
EPLB,eplb_l01,K2,16,4,ok,20260823-215421_perlmutter_b6fbd31e,eplb_l01_trace-610042_b4_k8_isolated,0,14.544,8.051,0.026,6.561,4.03,0.618,18.926,13.899,16.135,
EPLB,eplb_l01,K2,16,8,ok,20260823-215421_perlmutter_b6fbd31e,eplb_l01_trace-610042_b8_k8_isolated,0,26.949,14.208,0.053,12.532,4.628,0.784,31.998,25.018,27.588,
EPLB,eplb_l01,K2,16,16,ok,20260823-215421_perlmutter_b6fbd31e,eplb_l01_trace-610042_b16_k8_isolated,0,47.436,24.845,0.112,22.251,5.608,0.745,53.417,45.326,48.919,
EPLB,eplb_l01,K2,16,32,ok,20260823-215421_perlmutter_b6fbd31e,eplb_l01_trace-610042_b32_k8_isolated,0,99.288,51.427,0.21,47.626,8.095,0.619,107.777,97.497,101.099,
EPLB,eplb_l01,K2,16,64,ok,20260823-215421_perlmutter_b6fbd31e,eplb_l01_trace-610042_b64_k8_isolated,0,196.424,101.57,0.443,93.705,12.924,0.636,209.531,190.687,197.558,
EPLB,eplb_l01,Qwen,4,1,ok,20260823-164407_perlmutter_a5cb760f,eplb_l01_trace-a2e8ab_b1_k8_isolated,0,3.424,1.906,0.017,1.497,2.93,0.23,6.483,3.359,3.574,
EPLB,eplb_l01,Qwen,4,2,ok,20260823-164407_perlmutter_a5cb760f,eplb_l01_trace-a2e8ab_b2_k8_isolated,0,5.39,2.734,0.023,2.568,2.966,0.235,8.342,5.084,8.248,
EPLB,eplb_l01,Qwen,4,4,ok,20260823-164407_perlmutter_a5cb760f,eplb_l01_trace-a2e8ab_b4_k8_isolated,0,9.452,4.807,0.035,4.623,2.925,0.24,12.432,8.862,9.936,
EPLB,eplb_l01,Qwen,4,8,ok,20260823-164407_perlmutter_a5cb760f,eplb_l01_trace-a2e8ab_b8_k8_isolated,0,17.309,8.584,0.071,8.57,3.002,0.236,20.36,16.786,18.766,
EPLB,eplb_l01,Qwen,4,16,ok,20260823-164407_perlmutter_a5cb760f,eplb_l01_trace-a2e8ab_b16_k8_isolated,0,32.738,16.325,0.147,16.133,2.994,0.474,35.83,31.8,33.663,
EPLB,eplb_l01,Qwen,4,32,ok,20260823-164407_perlmutter_a5cb760f,eplb_l01_trace-a2e8ab_b32_k8_isolated,0,63.284,31.295,0.299,31.794,3.619,0.247,67.027,61.551,64.274,
