nodes,model,row_id,row_label,budget_mib,total_ms,recorded_ms,stat,arm_variant,impl,capsule,cell_id,branch,git_sha,flag
4,K2,epic,EPIC,16,20.986,20.99,iter_max_median,epic_l01_hc_m1,epic,20260824-154543_perlmutter_3e868187,epic_l01_hc_m1_trace-610042_b16_k8_isolated,main,fc8e47070,
4,K2,epic,EPIC,64,66.537,66.54,iter_max_median,epic_l01_hc_m1,epic,20260824-154543_perlmutter_3e868187,epic_l01_hc_m1_trace-610042_b64_k8_isolated,main,fc8e47070,
4,K2,ours1_tokencomm,1Ours(Token Comm),1,4.090,4.09,iter_max_median,l01_slipstream,flux,20260829-143238_perlmutter_498a36d2,l01_slipstream_trace-610042_b1_k8_isolated,main,3c5fb0cb6,
4,K2,ours1_tokencomm,1Ours(Token Comm),2,4.697,4.70,iter_max_median,l01_slipstream,flux,20260829-143238_perlmutter_498a36d2,l01_slipstream_trace-610042_b2_k8_isolated,main,3c5fb0cb6,
4,K2,ours1_tokencomm,1Ours(Token Comm),4,6.707,6.71,iter_max_median,l01_slipstream,flux,20260829-143238_perlmutter_498a36d2,l01_slipstream_trace-610042_b4_k8_isolated,main,3c5fb0cb6,
4,K2,ours1_tokencomm,1Ours(Token Comm),16,16.317,16.32,iter_max_median,l01_slipstream,flux,20260829-143238_perlmutter_498a36d2,l01_slipstream_trace-610042_b16_k8_isolated,main,3c5fb0cb6,
4,K2,ours1_tokencomm,1Ours(Token Comm),64,54.639,54.64,iter_max_median,l01_slipstream,flux,20260829-143238_perlmutter_498a36d2,l01_slipstream_trace-610042_b64_k8_isolated,main,3c5fb0cb6,
4,K2,ours2_nooverlap,2Ours(expert balance + Routing + hier a2av (no overlap)),1,6.377,6.377,iter_max_median,llc_l01_s1_pv2_pv3c_eps025,epic,20260915-065911,llc_l01_s1_pv2_pv3c_eps025_trace-610042_b1_k8_isolated,pv3,556843e,pv3c C=1/4 kernel=campaign n_capsules=1 d_vs_loccap_twin=0.7%
4,K2,ours2_nooverlap,2Ours(expert balance + Routing + hier a2av (no overlap)),2,6.996,7.00,iter_max_median,llc_l01_s1_pv2,epic,20260827-134724_perlmutter_c26e2b4a,llc_l01_s1_pv2_trace-610042_b2_k8_isolated,main,424b340b0,"pre_pv3c LocCap router, budget/topology not plotted, NOT re-measured"
4,K2,ours2_nooverlap,2Ours(expert balance + Routing + hier a2av (no overlap)),4,8.448,8.448,iter_max_median,llc_l01_s1_pv2_pv3c_eps025,epic,20260915-065911,llc_l01_s1_pv2_pv3c_eps025_trace-610042_b4_k8_isolated,pv3,556843e,pv3c C=1/4 kernel=campaign n_capsules=1 d_vs_loccap_twin=-1.7%
4,K2,ours2_nooverlap,2Ours(expert balance + Routing + hier a2av (no overlap)),16,18.606,18.606,iter_max_median,llc_l01_s1_pv2_pv3c_eps025,epic,20260915-065911,llc_l01_s1_pv2_pv3c_eps025_trace-610042_b16_k8_isolated,pv3,556843e,pv3c C=1/4 kernel=campaign n_capsules=1 d_vs_loccap_twin=-0.7%
4,K2,ours2_nooverlap,2Ours(expert balance + Routing + hier a2av (no overlap)),64,59.884,59.88,iter_max_median,llc_l01_s1_pv2,epic,20260827-135014_perlmutter_a5a36a31,llc_l01_s1_pv2_trace-610042_b64_k8_isolated,main,57330291b,"pre_pv3c LocCap router, budget/topology not plotted, NOT re-measured"
4,K2,ours12,1+2,1,4.031,4.031,iter_max_median,ours_l01_s1_pv2_r2_pv3c_eps025,ours,20260915-221148,ours_l01_s1_pv2_r2_pv3c_eps025_trace-610042_b1_k8_isolated,pv3,556843e,pv3c C=1/4 kernel=v4 n_capsules=1 d_vs_loccap_twin=-1.1%
4,K2,ours12,1+2,2,4.681,4.68,iter_max_median,ours_l01_s1_pv2_r2,ours,20260829-143523_perlmutter_a147cb08,ours_l01_s1_pv2_r2_trace-610042_b2_k8_isolated,main,3c5fb0cb6,"pre_pv3c LocCap router, budget/topology not plotted, NOT re-measured"
4,K2,ours12,1+2,4,6.105,6.105,iter_max_median,ours_l01_s1_pv2_r2_pv3c_eps025,ours,20260915-221148,ours_l01_s1_pv2_r2_pv3c_eps025_trace-610042_b4_k8_isolated,pv3,556843e,pv3c C=1/4 kernel=v4 n_capsules=1 d_vs_loccap_twin=2.8%
4,K2,ours12,1+2,16,14.269,14.269,iter_max_median,ours_l01_s1_pv2_r2_pv3c_eps025,ours,20260915-221148,ours_l01_s1_pv2_r2_pv3c_eps025_trace-610042_b16_k8_isolated,pv3,556843e,pv3c C=1/4 kernel=v4 n_capsules=1 d_vs_loccap_twin=-1.1%
4,K2,ours12,1+2,64,46.668,46.67,iter_max_median,ours_l01_s1_pv2_r2,ours,20260829-153031_perlmutter_007a3f3b,ours_l01_s1_pv2_r2_trace-610042_b64_k8_isolated,main,f3da6f3e2,"pre_pv3c LocCap router, budget/topology not plotted, NOT re-measured"
